party,result,council,region
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Кам'янець-Подільська міська рада,Хмельницька обл.
"Політична партія ""Партія місцевого самоврядування""",22.22,Новокаховська міська рада,Херсонська обл.
"Політична Партія ""Опозиційний блок""",23.53,Каховська міська рада,Херсонська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",20.37,Херсонська міська рада,Херсонська обл.
Радикальна партія Олега Ляшка,15.38,Новгород-Сіверська міська рада,Чернігівська обл.
Аграрна партія України,7.69,Новгород-Сіверська міська рада,Чернігівська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",30.77,Голопристанська міська рада,Херсонська обл.
"Партія ""Відродження""",33.33,Уманська міська рада,Черкаська обл.
Радикальна партія Олега Ляшка,8.82,Шепетівська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ"" ",8.82,Шепетівська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Старокостянтинівська міська рада,Хмельницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Славутська міська рада,Хмельницька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.71,Славутська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ"" ",11.76,Славутська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",14.71,Нетішинська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",14.71,Нетішинська міська рада,Хмельницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Нетішинська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Нетішинська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",16.67,Кам'янець-Подільська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",16.67,Кам'янець-Подільська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.33,Кам'янець-Подільська міська рада,Хмельницька обл.
"Політична Партія ""Опозиційний блок""",16.67,Новокаховська міська рада,Херсонська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Новокаховська міська рада,Херсонська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.11,Новокаховська міська рада,Херсонська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Каховська міська рада,Херсонська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.71,Каховська міська рада,Херсонська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Каховська міська рада,Херсонська обл.
Радикальна партія Олега Ляшка,8.82,Каховська міська рада,Херсонська обл.
"Політична партія ""Наш край""",16.67,Херсонська міська рада,Херсонська обл.
"Політична Партія ""Опозиційний блок""",16.67,Херсонська міська рада,Херсонська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",12.96,Херсонська міська рада,Херсонська обл.
"Політична партія ""Наш край""",19.23,Голопристанська міська рада,Херсонська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Голопристанська міська рада,Херсонська обл.
Радикальна партія Олега Ляшка,11.54,Голопристанська міська рада,Херсонська обл.
