party,result,council,region
Народна Партія,5.56,Кам'янець-Подільська міська рада,Хмельницька обл.
"Партія ""Відродження""",5.56,Новокаховська міська рада,Херсонська обл.
Радикальна партія Олега Ляшка,5.56,Херсонська міська рада,Херсонська обл.
"Політична Партія ""Опозиційний блок""",11.76,Южноукраїнська міська рада,Миколаївська обл.
"Політична партія ""Наш край""",11.76,Южноукраїнська міська рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Южноукраїнська міська рада,Миколаївська обл.
"Політична Партія ""Опозиційний блок""",19.44,Первомайська міська рада,Миколаївська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.44,Первомайська міська рада,Миколаївська обл.
"Політична партія ""Наш край""",16.67,Первомайська міська рада,Миколаївська обл.
"Політична партія ""Наш край""",19.23,Очаківська міська рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Очаківська міська рада,Миколаївська обл.
"Політична партія ""Нова держава""",15.38,Очаківська міська рада,Миколаївська обл.
"Партія ""Відродження""",11.54,Очаківська міська рада,Миколаївська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Очаківська міська рада,Миколаївська обл.
"Партія ""Відродження""",14.71,Вознесенська міська рада,Миколаївська обл.
"Політична партія ""Наш край""",14.71,Вознесенська міська рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Вознесенська міська рада,Миколаївська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Вознесенська міська рада,Миколаївська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",18.52,Миколаївська міська рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Миколаївська міська рада,Миколаївська обл.
"Політична партія ""Наш край""",16.67,Миколаївська міська рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Тернопільська міська рада,Тернопільська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",16.67,Тернопільська міська рада,Тернопільська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",9.52,Тернопільська міська рада,Тернопільська обл.
"Політична партія ""Громадянська позиція""",9.52,Тернопільська міська рада,Тернопільська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",9.52,Тернопільська міська рада,Тернопільська обл.
"Політична партія ""Сила людей""",29.41,Чортківська міська рада,Тернопільська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.08,Кременецька міська рада,Тернопільська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.08,Бережанська міська рада,Тернопільська обл.
"Політична партія ""Всеукраїнське об’єднання ""ЦЕНТР""",50.0,Чугуївська міська рада,Харківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",35.29,Первомайська міська рада,Харківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.88,Южноукраїнська міська рада,Миколаївська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",5.88,Южноукраїнська міська рада,Миколаївська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Южноукраїнська міська рада,Миколаївська обл.
"Партія ""Відродження""",35.29,Люботинська міська рада,Харківська обл.
"Партія ""Відродження""",58.82,Куп'янська міська рада,Харківська обл.
"Партія ""Відродження""",8.33,Первомайська міська рада,Миколаївська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",5.56,Первомайська міська рада,Миколаївська обл.
"Політична партія ""Нова держава""",5.56,Первомайська міська рада,Миколаївська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",3.85,Очаківська міська рада,Миколаївська обл.
Радикальна партія Олега Ляшка,8.82,Вознесенська міська рада,Миколаївська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Вознесенська міська рада,Миколаївська обл.
"Політична партія ""Національна Демократична партія України""",5.88,Вознесенська міська рада,Миколаївська обл.
Радикальна партія Олега Ляшка,7.14,Тернопільська міська рада,Тернопільська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",20.59,Чортківська міська рада,Тернопільська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Чортківська міська рада,Тернопільська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Чортківська міська рада,Тернопільська обл.
Радикальна партія Олега Ляшка,11.76,Чортківська міська рада,Тернопільська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",23.08,Кременецька міська рада,Тернопільська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",15.38,Кременецька міська рада,Тернопільська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",15.38,Кременецька міська рада,Тернопільська обл.
"Політична партія ""ПАТРІОТ""",15.38,Кременецька міська рада,Тернопільська обл.
